,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,label
10,-261.4305,96.88357,14.843041,59.580067,0.01971178,40.68163,-45.60705,27.464336,-20.551302,16.362608,-14.879963,6.1612887,-10.625918,3.6004376,7.063442,-8.715697,-1.6280712,2.0988975,1.0557635,-12.754437,2.026704,-8.715634,2.8084476,-5.5162044,-1.2702183,-1.3297629,-2.590644,-3.7079952,0.45456827,-6.566479,-1.0152372,-1.8171095,-3.7969205,-2.864851,-3.389933,-1.1252064,-2.982803,2.0394766,2.015568,1.1340145,0.18977891,0.24805024,-1.6299434,-1.5938712,-3.1709673,-0.0059114313,-0.93976104,1.8111883,0.23207672,-0.68548733,-1.2721934,0.3086281,0.9447277,-0.8926078,-0.79136103,-1.1659753,0.06026257,0.20998892,-0.49409488,-3.211001,-1.438479,-0.4001559,-0.19077274,-0.39787614,-1.2659668,-0.94411486,-0.20917213,-0.99877274,-1.4321581,-1.3371947,-0.68233424,-1.0787393,-1.3973246,-1.1009799,-0.57384175,-0.5612049,-1.4399229,-0.969734,-0.5586955,-0.83324707,0.46802175,-0.43100917,-0.90386117,-0.71710056,0.032231163,0.18294555,-1.1867421,-0.5103875,-0.6427184,0.696737,-0.49189737,-0.040651828,-0.22038719,-0.9152958,-0.40010557,-0.4011016,-0.0046627726,0.48189983,0.047594327,-0.49574524,7masa
11,-224.55716,95.714455,8.669261,39.63809,-12.740357,42.03522,-38.07868,27.73764,-24.235552,16.396664,-17.963057,13.354884,-6.4159594,-3.2652204,-0.1551342,-8.672147,-0.3118201,0.22708634,-0.49310058,-12.2449875,4.0917163,-6.8631124,-0.58329344,-3.4151394,-2.2692437,-3.9241397,1.2365338,-4.3654757,-0.26632157,-3.4269392,-1.6158533,-0.9698626,-1.983435,-3.116409,-2.2812374,-3.0667622,-4.0761094,-0.25416514,-0.0065558767,1.8257236,-1.5356967,-0.7968378,-1.118559,-1.2970973,-1.1359044,-0.82225513,-1.4861268,-3.1045737,-3.0081658,-1.7716957,-1.912462,-1.4658347,-1.33068,1.5246336,-1.5611497,-0.83829397,-0.6693659,0.6100478,-0.5896351,0.5059394,0.7024686,0.8397031,-0.17899516,-1.1234396,-0.34603742,-1.0951241,0.16928387,-2.1214263,-0.1683478,-0.85282415,-1.2838832,-1.7281466,-0.6372487,-1.0641536,-0.9442028,-1.2782406,-1.0908455,0.17376678,0.3355079,0.26017085,-0.34430674,-1.139932,-0.5523377,-1.0965489,-1.4339162,-0.61023915,0.4799587,0.928362,-1.077737,-0.13809957,-0.44896483,-0.065952554,-1.3009517,-0.14925207,-0.36222175,-0.84672654,0.09502082,-0.34534916,-0.12151159,-0.8681835,7masa
12,-176.33067,104.995476,22.003876,50.505733,-0.44605458,38.019703,-46.58618,27.933165,-17.0066,13.590104,-13.686996,4.778532,-8.858731,7.309762,4.5043907,-9.513054,1.3400191,0.66830504,1.1097885,-10.146808,4.4876456,-8.596323,0.16242182,-4.4075546,-1.5766613,-1.6358266,-1.6575897,-3.152588,-0.45551634,-2.0938601,-0.82604253,-3.284558,-1.3262752,-2.2622771,-1.6995026,-0.70968825,-3.8379033,-0.17672087,-3.0747826,-1.9411933,-2.132075,-2.2443593,-3.7168403,-2.637302,-2.7591603,-1.4690717,-0.84437346,0.11330275,0.7351989,1.9239011,1.5561074,1.2574124,0.24147321,-0.62666947,-0.8004907,-0.29647368,0.157745,0.09574337,-0.9646664,-1.1463411,-0.65120584,-0.5957931,0.5203546,-0.77147067,-0.9227566,-1.0149047,-0.9174381,-0.59986025,-0.278738,-0.48454845,-1.0597105,-1.1154696,-0.8087245,-0.20867243,-0.69985104,-1.0745263,-0.5832412,-0.7898553,-0.93392766,-0.96420354,-0.87068254,-0.29003948,-0.35621896,-0.7515469,-0.3208237,-0.2452087,-0.97954214,-0.44647667,-0.4753178,-0.6155982,-0.7460751,-0.523209,-0.4421168,-0.73002005,0.0149789145,-0.26938483,-0.26645374,-0.08358285,-0.1492599,-0.2617833,7masa
13,-22.922333,113.51856,2.3780632,23.738821,-8.374378,19.758022,-32.965496,12.803902,-17.61478,8.74426,-6.9121943,5.5978174,-4.416889,-5.7798843,6.128401,-6.8784833,-5.8021727,-4.203615,-1.2173749,-6.354327,-1.6530838,-4.908482,-2.2757258,-4.9284782,-3.14425,-3.5681832,-4.651531,-6.5473194,-3.7183185,-5.03697,-5.9254513,-1.8591979,-2.9121144,-1.7345414,-0.2892469,3.682924,4.215223,3.6692028,4.0365076,2.4928765,-1.6708262,-1.8271701,-1.1998465,-0.7829415,-1.7932898,-1.9774364,0.2199499,0.831863,1.5116909,-0.9402871,-2.7488875,-2.8333082,-0.9397025,0.32171285,-0.6121693,-0.3971624,-1.3836461,-1.5059371,-1.1876092,-1.1533179,-0.98124164,-1.5426013,-1.2327931,-1.1642779,-1.1402642,-1.0000349,-1.1877816,-0.719578,-0.7459533,0.913169,1.2485951,0.8554476,0.8014494,0.8656161,1.0407455,0.5172738,0.037316315,0.7588086,1.2152995,0.5825666,0.46459955,0.54827857,-0.1548879,-0.26926148,0.26028767,-0.024415925,-0.49109262,-0.7415034,-0.31878462,-0.5813681,-1.133835,-0.29196644,-0.5600459,-0.30802706,-0.16239455,-0.07958263,-0.35916245,-0.5813383,-0.54040515,-0.43743628,7masa
14,-161.27776,144.69652,12.607603,48.46036,-13.533648,21.29402,-28.518087,27.201014,-23.412247,12.875915,-2.451672,4.3097734,1.9895505,-4.951006,3.437662,-7.9882665,-4.341339,-6.126597,-2.715283,-10.422535,3.1055286,-10.097135,-2.45354,-0.63318896,-6.0438223,-8.481806,-1.1990118,-2.8600311,-4.12115,-3.7271075,-4.850133,-3.6524878,-4.7932925,-2.4679468,-6.9094334,-4.927693,-10.0527115,-7.4455276,-5.680304,-4.401774,2.6888752,11.488206,11.826692,12.270549,7.509086,-1.325956,-6.2922297,-8.431703,-4.784839,-0.7048316,-0.5075258,-2.968919,-2.8426485,-3.2994761,-1.8840638,1.6193982,1.0129421,-3.9356537,-2.5335062,0.24444267,0.56880885,-0.44293588,-1.823186,-2.8661797,-1.9570428,1.0958955,-0.44660413,-2.9090292,-2.2075436,1.0958807,0.30213964,-1.6878761,-1.0468694,-0.3506674,0.52475065,-0.47709033,-2.1307254,-0.9615772,-0.24538942,-0.18547335,-1.9665768,-1.6712816,0.86808115,2.3545978,2.0135016,2.1526072,2.967555,1.2212621,0.49161685,1.0306145,1.2801919,0.5873221,-1.6696956,-0.55226153,0.062819876,-1.4843469,-1.1875906,0.6056315,0.15867971,-1.6246954,7masa
15,-131.09117,145.27406,-5.051591,31.080944,-18.580454,36.778687,-42.27743,23.502407,-19.991516,25.503113,0.108846545,8.192873,-17.307783,-5.2203245,14.37882,-10.691489,-2.6356297,-0.016287208,-6.3250246,-5.4191008,5.9410806,-11.427492,-3.7645009,-1.1990314,-5.9202814,-1.6472912,1.7800282,-6.243876,-0.50375575,-5.8324065,-4.0002594,-5.88557,-8.279354,-5.2770314,0.68407977,1.3498219,6.432561,4.711336,-0.5596776,-0.50318134,-4.5788345,-1.8100965,-1.3886037,1.2578655,-1.8962803,-5.1441774,-4.307749,-0.03816253,0.70212066,0.21330996,-3.903321,-5.328252,-2.4630713,1.9091635,-2.1284585,-2.1006215,-1.9310257,-0.4928068,-0.16800806,-2.5417106,-2.807183,-0.7298887,0.41542983,-1.6703467,-2.6863492,-2.4792583,-0.066399395,-1.4921303,-1.7162298,-1.1461588,3.212583,2.4590857,0.0979161,-0.3420262,0.36929965,0.11096609,-1.9262879,-0.5920137,1.8996954,-0.075375795,-1.0171317,-0.4932591,-0.23520677,0.11075024,-1.2157073,-0.48501495,-0.4488129,-1.716504,-1.5635462,0.9958714,-0.27152127,-1.655518,-1.197149,-0.76919466,-0.67697996,-0.23510781,0.17432812,-0.47503555,-1.5674804,0.05909452,7masa
16,-155.9463,150.98714,28.714544,45.38077,-10.850383,22.897486,-25.134676,16.840199,-6.74409,8.481213,-9.603159,0.6034156,-5.380877,-3.191028,6.4940143,-11.60346,2.4708626,-3.8990476,-3.3190367,-6.920981,-0.8577463,-5.8413568,-1.7943962,-2.6776679,-2.9156277,-1.7913501,-1.6524707,-2.482559,-2.0609004,-1.7855501,-4.107556,-2.747316,-5.78548,-3.4428267,-3.7076077,-1.0697275,-3.8779256,-1.820109,-2.9857597,-2.984013,0.6456123,0.7408994,1.4247501,-0.8667107,-1.0708036,-1.3413311,-0.5789411,0.9444208,1.6442455,0.17455342,-0.44954103,-2.5389156,-2.7782722,-1.0829448,-1.158983,-1.0804158,0.0519125,-0.8906928,-1.3038977,-0.31575438,-0.75214463,-0.33594453,-1.1246967,-1.2820932,-0.97327554,-0.38031143,-0.8517472,-0.9373584,-0.92855483,-0.05070086,-0.1575328,-0.81193614,-1.0623136,-0.6037852,0.04195973,-0.22959483,-0.18092017,-0.49605507,-0.5608383,-0.61499923,-0.2637233,0.32458514,-0.21179101,-0.21976621,0.20715153,0.10363765,-0.4794499,-1.289386,-0.7668043,-0.19428241,-0.19590738,-0.008297349,0.044058107,-0.16692345,0.09452121,0.120402895,0.007036353,0.12948324,-0.3165446,-0.8795684,7masa
17,-167.98909,140.41382,18.55725,39.45044,-22.823362,23.917107,-30.718258,29.919641,-28.026314,16.685356,-7.4961905,3.8048124,1.2694986,-1.4002974,2.5486836,-9.669234,3.5342662,-2.862671,-0.007204945,-7.260485,1.4288611,-4.668634,-2.7335851,-1.2427955,0.99085176,-5.319325,-2.1163776,0.018126821,-2.4409688,-3.4289682,0.41445988,-4.271105,-2.4716456,-3.2140143,-2.8942199,-3.4660845,-3.113592,-0.88629586,-5.2550592,-0.72843426,-3.6722484,-2.6942644,-2.9033415,-3.3580787,-2.4532077,-1.8740644,-0.42725506,1.0148185,2.0101752,3.5729656,2.5833557,1.5516708,-0.24883372,0.04733589,-0.19519198,1.3882838,1.7862542,1.3562226,0.035238806,-0.1070742,0.6934415,-1.0096847,-0.7213128,-1.5164726,-0.6392775,-1.8341202,-0.41850495,0.42252278,0.06992497,-0.2309422,-1.1366006,-1.2596033,-0.99441195,-0.2478267,0.03687232,-1.5010623,-0.90010166,-1.1185005,-0.59530765,-0.786975,-0.67490363,-0.4422674,-1.1684902,-0.4482258,-0.52269375,-0.49732018,-1.3081465,-0.592143,-0.8757327,0.08551811,-0.54351586,-0.6735082,-0.6267429,-0.27747715,-0.269471,-0.38026586,0.09374092,-0.25982937,-0.381908,-0.3133628,7masa
18,-292.09668,125.14477,24.217379,45.806793,-5.752603,25.028395,-27.189709,26.708538,-22.963457,14.175097,-0.6102548,-1.1666272,2.3943243,2.464014,3.977819,-10.578184,1.5321088,-4.021331,-3.1581664,-8.309843,-0.4426617,-6.1027246,-4.0933614,-1.0965364,-0.018922698,-3.5973217,-1.5572236,1.2932873,-0.27203703,-2.7038302,1.6234099,-1.4558566,-2.7330024,0.6491299,-1.6986854,-1.6664221,-2.520724,-0.5794277,-2.8622787,-2.133524,-2.764167,-3.091671,-2.114126,-2.9145312,-1.7223535,-1.7000864,-0.6719574,-0.5045176,-1.8617715,-1.393497,-1.5518174,-1.8125638,-1.7102321,-0.87481487,-1.3960075,-1.8003175,-2.716357,-1.3967559,-0.7863132,0.17374508,1.0995171,1.4206734,2.742805,1.7065794,1.656171,1.4280825,0.8644939,0.37395138,-0.37624353,-0.37687314,-0.47646675,-0.9221648,-0.51100093,-0.2734584,0.0528676,-1.4491549,-0.95911086,-0.5612131,-0.51344025,-0.49292743,-1.0530055,-0.6889745,-1.0477399,-0.42708188,0.20431612,-0.20773987,-1.2042109,-0.5398722,-0.16304016,-0.0820336,-0.286194,-0.61347705,-0.40156657,-0.416252,0.019033043,-0.21217868,-1.0494354,-0.5918105,-0.1406621,-0.8452456,7masa
19,-193.79826,127.990166,12.762923,45.11137,-6.359493,32.033344,-33.902073,25.836452,-18.731339,11.621999,-3.7511048,3.3349261,-7.856255,1.4905882,4.3659625,-10.668874,0.40074098,-5.107982,-2.728252,-6.468532,0.34459436,-7.3993225,-1.4370512,-3.985307,-2.0832639,-4.234886,-1.938031,-2.1742878,-1.2260779,-3.7588022,-1.0124454,-1.3890299,-3.3252323,-1.2603503,-1.9227153,-2.5627697,-4.279107,-1.4548165,-2.2752354,-3.053727,-1.3460134,-0.38626498,-1.5120547,-0.57886314,-0.7901365,-1.9619377,-2.1138928,-0.4709568,-1.2940154,-0.48532575,-1.182127,-1.6659205,-1.2702658,-0.9675571,-1.1417536,-0.24598603,0.13109697,0.6186532,0.70085657,1.2098272,0.1496158,-1.2363217,-1.3052896,-1.1836083,0.5395325,-0.19843699,-0.17341574,-0.77290463,-0.55679196,-0.91402024,-0.05149347,-0.5071928,-1.810578,-1.6161108,-0.90980846,-0.5565596,-0.50649863,-0.40819368,-0.41710645,-0.19724616,-0.48581424,-0.7930629,-0.5288401,-0.26308864,-0.28766876,-0.11817328,-0.3717359,0.10617018,-0.5583702,-0.41872782,-0.549286,-0.49013114,-0.69363385,-0.61296463,0.12968518,0.18623185,-0.07722933,-0.2006993,0.30973446,-0.28601494,7masa
